County,DIST_ALLR_GRAD
Anderson,97.4142857142857
Andrews,94.1
Angelina,95.54999999999998
Aransas,91.94999999999999
Archer,99.60000000000001
Armstrong,95.2
Atascosa,96.38000000000001
Austin,98.18333333333334
Bailey,98.7
Bandera,91.875
Bastrop,92.31666666666666
Baylor,100.0
Bee,94.08333333333333
Bell,88.34583333333335
Bexar,90.82258064516132
Blanco,96.55000000000001
Borden,100.0
Bosque,82.66250000000001
Bowie,96.8111111111111
Brazoria,96.10714285714286
Brazos,90.375
Brewster,65.36666666666667
Briscoe,100.0
Brooks,92.15
Brown,97.67142857142856
Burleson,98.8
Burnet,95.64999999999999
Caldwell,95.26666666666665
Calhoun,96.8
Callahan,99.4375
Cameron,93.93
Camp,99.4
Carson,100.0
Cass,98.49285714285715
Castro,93.06666666666668
Chambers,98.30000000000001
Cherokee,97.38
Childress,96.7
Clay,95.64999999999999
Cochran,94.25
Coke,100.0
Coleman,95.21666666666665
Collin,96.93333333333332
Collingsworth,100.0
Colorado,93.36666666666667
Comal,63.53333333333333
Comanche,99.425
Concho,100.0
Cooke,97.69166666666668
Coryell,91.98
Cottle,100.0
Crane,94.1
Crockett,100.0
Crosby,93.2
Culberson,96.7
Dallam,99.6
Dallas,87.58281250000003
Dawson,70.475
DeWitt,97.50000000000001
Deaf Smith,91.4
Delta,89.89999999999999
Denton,97.15909090909093
Dickens,100.0
Dimmit,92.85
Donley,97.85
Duval,95.23333333333333
Eastland,96.55000000000001
Ector,83.4
Edwards,98.75
El Paso,85.94615384615385
Ellis,95.16818181818181
Erath,84.61666666666666
Falls,94.76666666666667
Fannin,96.8
Fayette,98.08000000000001
Fisher,93.5
Floyd,97.2
Foard,97.85
Fort Bend,95.82500000000002
Franklin,98.75
Freestone,99.23333333333333
Frio,95.55
Gaines,97.01666666666667
Galveston,94.47777777777777
Garza,93.30000000000001
Gillespie,98.95
Glasscock,100.0
Goliad,98.55
Gonzales,94.96666666666665
Gray,93.25
Grayson,97.23076923076923
Gregg,96.56875
Grimes,97.5125
Guadalupe,94.86250000000001
Hale,98.0
Hall,98.7
Hamilton,96.8
Hansford,100.0
Hardeman,97.1
Hardin,93.51
Harris,88.92424242424241
Harrison,88.64
Hartley,100.0
Haskell,65.46666666666667
Hays,78.62499999999999
Hemphill,100.0
Henderson,97.94285714285715
Hidalgo,92.775
Hill,97.39999999999996
Hockley,98.39999999999999
Hood,96.56666666666666
Hopkins,96.21428571428574
Houston,97.58000000000001
Howard,92.73333333333333
Hudspeth,100.0
Hunt,98.175
Hutchinson,96.46666666666665
Irion,100.0
Jack,96.66666666666667
Jackson,95.53333333333332
Jasper,94.25999999999998
Jeff Davis,100.0
Jefferson,91.55624999999998
Jim Hogg,98.8
Jim Wells,94.2375
Johnson,95.33888888888887
Jones,98.92
Karnes,91.8
Kaufman,95.78571428571429
Kendall,91.55
Kent,100.0
Kerr,96.56666666666666
Kimble,100.0
King,100.0
Kinney,100.0
Kleberg,91.75
Knox,100.0
La Salle,94.15
Lamar,94.93749999999999
Lamb,99.06
Lampasas,99.575
Lavaca,98.11666666666667
Lee,99.03333333333335
Leon,96.42999999999999
Liberty,94.95000000000003
Limestone,95.96666666666665
Lipscomb,93.83333333333333
Live Oak,96.19999999999999
Llano,96.85
Lubbock,94.16111111111111
Lynn,97.525
Madison,97.25
Marion,97.8
Martin,99.15
Mason,97.7
Matagorda,95.2125
Maverick,95.85
McCulloch,92.39999999999999
McLennan,96.40789473684211
McMullen,100.0
Medina,96.42000000000002
Menard,100.0
Midland,94.1
Milam,96.05000000000001
Mills,89.83333333333333
Mitchell,100.0
Montague,98.44166666666666
Montgomery,93.84166666666665
Moore,97.65
Morris,97.75
Motley,100.0
Nacogdoches,97.5
Navarro,96.39999999999999
Newton,94.76666666666667
Nolan,97.1
Nueces,95.25
Ochiltree,98.1
Oldham,99.28333333333335
Orange,92.22999999999999
Palo Pinto,97.52
Panola,95.78750000000001
Parker,96.42500000000001
Parmer,96.30000000000001
Pecos,96.13333333333334
Polk,96.44166666666666
Potter,95.925
Presidio,85.55
Rains,92.75
Randall,96.35
Reagan,86.7
Real,74.8
Red River,94.9375
Reeves,93.4
Refugio,99.33333333333333
Roberts,100.0
Robertson,97.88000000000001
Rockwall,97.575
Runnels,98.38333333333333
Rusk,97.84999999999997
Sabine,96.75
San Augustine,97.25
San Jacinto,91.85
San Patricio,94.70714285714287
San Saba,99.39999999999999
Schleicher,97.3
Scurry,98.43333333333334
Shackelford,98.9
Shelby,97.1
Sherman,96.3
Smith,96.6125
Somervell,81.94999999999999
Starr,95.53333333333332
Stephens,89.2
Sterling,95.0
Stonewall,100.0
Sutton,100.0
Swisher,96.86666666666667
Tarrant,94.53999999999999
Taylor,96.75833333333333
Terrell,100.0
Terry,98.63333333333333
Throckmorton,100.0
Titus,98.4
Tom Green,96.00714285714285
Travis,86.578125
Trinity,96.725
Tyler,95.06
Upshur,96.13571428571427
Upton,96.9
Uvalde,93.3625
Val Verde,92.95
Van Zandt,92.7625
Victoria,84.35
Walker,68.0
Waller,89.56666666666666
Ward,93.75
Washington,94.4
Webb,90.13750000000002
Wharton,97.48000000000002
Wheeler,97.325
Wichita,92.53999999999999
Wilbarger,64.25
Willacy,95.14999999999999
Williamson,96.44545454545454
Wilson,96.57499999999999
Winkler,97.35
Wise,97.91428571428573
Wood,95.22500000000001
Yoakum,96.475
Young,97.83333333333333
Zapata,95.94999999999999
Zavala,94.475
