County,Income
Anderson,"$48,461"
Andrews,"$74,918"
Angelina,"$51,750"
Aransas,"$53,085"
Archer,"$63,731"
Armstrong,"$64,424"
Atascosa,"$57,309"
Austin,"$68,311"
Bailey,"$46,174"
Bandera,"$59,604"
Bastrop,"$62,627"
Baylor,"$41,539"
Bee,"$44,171"
Bell,"$54,831"
Bexar,"$58,956"
Blanco,"$68,404"
Borden,"$71,926"
Bosque,"$55,179"
Bowie,"$51,207"
Brazoria,"$83,704"
Brazos,"$54,471"
Brewster,"$48,581"
Briscoe,"$44,259"
Brooks,"$31,410"
Brown,"$56,040"
Burleson,"$61,745"
Burnet,"$62,827"
Caldwell,"$55,301"
Calhoun,"$55,909"
Callahan,"$50,812"
Cameron,"$40,893"
Camp,"$47,091"
Carson,"$69,760"
Cass,"$44,529"
Castro,"$51,736"
Chambers,"$93,351"
Cherokee,"$46,576"
Childress,"$44,095"
Clay,"$59,983"
Cochran,"$43,742"
Coke,"$48,435"
Coleman,"$44,834"
Collin,"$96,847"
Collingsworth,"$40,314"
Colorado,"$55,607"
Comal,"$87,976"
Comanche,"$54,122"
Concho,"$43,321"
Cooke,"$61,186"
Coryell,"$53,083"
Cottle,"$40,449"
Crane,"$68,626"
Crockett,"$54,165"
Crosby,"$38,871"
Culberson,"$44,462"
Dallam,"$55,793"
Dallas,"$61,807"
Dawson,"$48,165"
Deaf Smith,"$46,178"
Delta,"$51,348"
Denton,"$90,910"
DeWitt,"$52,544"
Dickens,"$41,973"
Dimmit,"$40,315"
Donley,"$41,093"
Duval,"$37,100"
Eastland,"$46,991"
Ector,"$65,564"
Edwards,"$40,424"
Ellis,"$78,341"
El Paso,"$48,629"
Erath,"$53,044"
Falls,"$41,484"
Fannin,"$56,123"
Fayette,"$62,195"
Fisher,"$51,053"
Floyd,"$45,022"
Foard,"$38,615"
Fort Bend,"$101,361"
Franklin,"$50,630"
Freestone,"$52,511"
Frio,"$40,360"
Gaines,"$67,171"
Galveston,"$73,214"
Garza,"$48,975"
Gillespie,"$62,143"
Glasscock,"$93,759"
Goliad,"$56,758"
Gonzales,"$48,425"
Gray,"$52,543"
Grayson,"$57,439"
Gregg,"$53,137"
Grimes,"$51,651"
Guadalupe,"$78,801"
Hale,"$49,187"
Hall,"$35,940"
Hamilton,"$52,505"
Hansford,"$58,703"
Hardeman,"$40,057"
Hardin,"$62,616"
Harris,"$61,638"
Harrison,"$55,171"
Hartley,"$72,796"
Haskell,"$38,613"
Hays,"$72,890"
Hemphill,"$71,299"
Henderson,"$49,896"
Hidalgo,"$41,656"
Hill,"$53,210"
Hockley,"$51,149"
Hood,"$74,534"
Hopkins,"$50,332"
Houston,"$43,601"
Howard,"$61,112"
Hudspeth,"$39,309"
Hunt,"$57,513"
Hutchinson,"$57,936"
Irion,"$68,630"
Jack,"$55,358"
Jackson,"$55,800"
Jasper,"$47,252"
Jeff Davis,"$53,362"
Jefferson,"$55,173"
Jim Hogg,"$38,788"
Jim Wells,"$44,444"
Johnson,"$66,538"
Jones,"$51,094"
Karnes,"$54,843"
Kaufman,"$75,009"
Kendall,"$94,899"
Kenedy,"$46,132"
Kent,"$52,591"
Kerr,"$57,789"
Kimble,"$44,757"
King,"$71,256"
Kinney,"$47,076"
Kleberg,"$47,169"
Knox,"$40,808"
Lamar,"$47,061"
Lamb,"$42,719"
Lampasas,"$58,817"
La Salle,"$41,683"
Lavaca,"$52,632"
Lee,"$59,250"
Leon,"$50,522"
Liberty,"$53,274"
Limestone,"$43,644"
Lipscomb,"$65,388"
Live Oak,"$54,163"
Llano,"$55,617"
Loving,"$88,487"
Lubbock,"$54,733"
Lynn,"$45,737"
McCulloch,"$43,262"
McLennan,"$51,078"
McMullen,"$68,349"
Madison,"$46,274"
Marion,"$37,876"
Martin,"$68,745"
Mason,"$54,914"
Matagorda,"$49,276"
Maverick,"$40,017"
Medina,"$60,695"
Menard,"$38,425"
Midland,"$85,811"
Milam,"$48,989"
Mills,"$46,876"
Mitchell,"$44,457"
Montague,"$53,649"
Montgomery,"$88,833"
Moore,"$55,099"
Morris,"$43,304"
Motley,"$40,217"
Nacogdoches,"$46,207"
Navarro,"$48,649"
Newton,"$45,890"
Nolan,"$46,389"
Nueces,"$56,079"
Ochiltree,"$62,567"
Oldham,"$59,404"
Orange,"$62,976"
Palo Pinto,"$50,159"
Panola,"$56,882"
Parker,"$82,501"
Parmer,"$50,607"
Pecos,"$52,763"
Polk,"$50,416"
Potter,"$41,138"
Presidio,"$33,499"
Rains,"$65,657"
Randall,"$70,694"
Reagan,"$67,384"
Real,"$40,834"
Red River,"$41,325"
Reeves,"$48,990"
Refugio,"$46,883"
Roberts,"$70,705"
Robertson,"$47,016"
Rockwall,"$105,763"
Runnels,"$48,650"
Rusk,"$56,036"
Sabine,"$43,778"
San Augustine,"$40,094"
San Jacinto,"$42,633"
San Patricio,"$57,302"
San Saba,"$46,061"
Schleicher,"$53,286"
Scurry,"$56,299"
Shackelford,"$65,095"
Shelby,"$39,708"
Sherman,"$55,473"
Smith,"$59,538"
Somervell,"$67,897"
Starr,"$32,516"
Stephens,"$46,658"
Sterling,"$66,790"
Stonewall,"$48,267"
Sutton,"$63,427"
Swisher,"$44,388"
Tarrant,"$70,130"
Taylor,"$54,465"
Terrell,"$45,677"
Terry,"$42,953"
Throckmorton,"$42,746"
Titus,"$49,924"
Tom Green,"$54,774"
Travis,"$80,690"
Trinity,"$43,788"
Tyler,"$48,254"
Upshur,"$53,078"
Upton,"$58,908"
Uvalde,"$44,690"
Val Verde,"$45,034"
Van Zandt,"$55,554"
Victoria,"$57,344"
Walker,"$47,519"
Waller,"$61,822"
Ward,"$61,396"
Washington,"$59,039"
Webb,"$52,576"
Wharton,"$49,901"
Wheeler,"$58,544"
Wichita,"$51,535"
Wilbarger,"$42,570"
Willacy,"$35,821"
Williamson,"$92,661"
Wilson,"$76,905"
Winkler,"$64,894"
Wise,"$70,468"
Wood,"$56,945"
Yoakum,"$62,636"
Young,"$52,643"
Zapata,"$36,069"
Zavala,"$32,538"
